,bod5_proportion,nh3n_proportion,ss_proportion
bod5_proportion,1.0,0.19617607146846017,-0.04691418013628849
nh3n_proportion,0.19617607146846017,1.0,-0.2956897660532
ss_proportion,-0.04691418013628849,-0.2956897660532,1.0
